GEOID,all_ppl_race,B02001_001M,B02001_002E,B02001_002M,black,B02001_003M,B02001_004E,B02001_004M,B02001_005E,B02001_005M,B02001_006E,B02001_006M,B02001_007E,B02001_007M,B02001_008E,B02001_008M,B02001_009E,B02001_009M,B02001_010E,B02001_010M
"48453002450",3877,848,1497,810,60,94,0,15,171,187,0,15,1489,778,660,431,631,423,29,37
"48453002451",7535,744,4641,779,583,372,117,158,321,214,13,21,857,483,1003,453,616,401,387,184
"48453002452",3098,908,1251,845,40,49,33,48,39,69,0,15,1060,397,675,423,653,416,22,31
"48453002453",5475,819,2427,915,351,287,0,21,71,111,0,21,2395,874,231,206,175,177,56,69
"48453002500",6052,885,4271,606,154,148,0,21,337,211,27,39,439,378,824,351,228,169,596,305
"48453030000",4279,354,3599,421,2,24,0,15,313,263,0,15,17,27,348,156,157,125,191,122
"48453030100",3494,425,2733,379,296,283,13,15,137,98,0,15,26,30,289,136,210,120,79,60
"48453030200",5039,865,4072,869,27,40,0,21,203,141,0,21,17,27,720,367,548,338,172,142
"48453030300",4298,732,3791,735,55,46,8,13,22,25,0,15,110,77,312,172,166,76,146,150
"48453030400",4451,597,3434,414,2,5,10,16,44,52,0,15,229,126,732,341,551,334,181,124
"48453030500",6951,983,5231,923,547,461,0,21,359,161,0,21,42,48,772,312,212,162,560,291
"48453030600",5820,628,4764,721,148,158,0,21,311,138,0,21,26,42,571,262,278,238,293,175
"48453030700",4028,513,3710,517,0,15,0,15,220,143,0,15,0,15,98,62,10,14,88,57
"48453030800",4429,664,2871,525,53,60,0,15,946,534,57,66,38,54,464,233,438,236,26,32
"48453030900",7581,841,5594,753,465,374,40,61,78,78,0,21,625,647,779,335,458,230,321,251
"48453031000",4342,420,3477,440,134,107,0,15,190,117,0,15,0,15,541,282,370,266,171,129
"48453031100",5101,882,3982,643,80,87,0,21,304,269,0,21,110,97,625,347,333,312,292,157
"48453031200",6548,880,4856,852,164,152,0,21,727,218,0,21,126,111,675,359,263,195,412,235
"48453031300",3918,358,3131,341,253,157,6,11,185,85,0,15,93,103,250,111,89,68,161,88
"48453031400",4387,675,3319,607,20,32,0,15,415,269,0,15,0,15,633,484,533,492,100,61
"48453031500",7204,974,6351,1020,255,297,0,21,38,43,0,21,145,155,415,277,238,231,177,158
"48453031600",2237,291,1660,244,147,130,0,15,105,100,0,15,6,10,319,131,232,134,87,70
"48453031700",4729,704,3136,598,402,298,14,16,406,269,0,15,437,298,334,210,226,171,108,77
"48453031800",4499,675,3247,724,290,299,110,115,68,108,0,15,83,106,701,319,411,238,290,223
"48453031900",5231,520,4156,593,49,62,0,21,247,207,0,21,210,184,569,248,349,174,220,186
"48453032000",6303,878,4135,834,121,122,0,21,978,382,0,21,341,237,728,468,461,423,267,156
"48453032100",5181,747,3471,492,237,253,51,55,273,195,0,21,284,162,865,619,221,110,644,618
"48453032200",2047,198,1785,186,14,20,0,15,73,53,0,15,0,15,175,93,76,63,99,65
"48453032300",4160,562,2251,534,99,111,0,15,953,331,0,15,320,177,537,318,376,276,161,132
"48453032400",1537,233,825,162,125,93,0,15,201,109,0,15,62,45,324,160,157,106,167,125
"48453032500",4638,509,3463,427,183,121,0,15,318,150,0,15,41,49,633,364,393,364,240,142
"48453032600",6080,601,3454,497,170,98,56,56,1764,234,0,21,86,59,550,269,165,92,385,250
"48453032700",4430,706,3242,645,143,189,20,32,360,52,40,78,113,132,512,284,364,261,148,87
"48453032800",2738,610,1941,339,28,28,11,16,238,146,0,15,40,38,480,504,327,487,153,126
"48453032900",8143,1031,6331,795,67,63,46,50,675,298,33,39,64,82,927,408,464,257,463,298
"48453033000",7097,774,6071,713,178,146,0,21,86,85,0,21,142,90,620,346,465,311,155,115
"48453033100",4853,499,4368,513,28,43,0,15,92,70,0,15,28,32,337,160,225,127,112,111
"48453033200",5256,747,3121,810,35,34,40,47,854,571,0,21,359,217,847,372,429,302,418,255
"48453033300",9180,695,6174,749,651,454,69,86,1189,382,0,21,94,110,1003,574,580,399,423,287
"48453033400",3300,802,2322,400,213,180,33,46,74,57,0,15,160,169,498,444,127,87,371,443
"48453033500",5532,717,4270,719,19,30,60,77,272,177,0,21,233,285,678,339,459,277,219,174
"48453033600",4217,527,3330,399,179,249,25,43,107,104,0,15,148,150,428,274,294,265,134,95
"48453033700",2855,572,1699,156,17,19,0,15,564,380,0,15,286,407,289,176,213,169,76,48
"48453033800",4479,627,2088,310,447,570,0,15,1498,257,0,15,160,121,286,118,77,72,209,99
"48453033900",5626,888,4586,896,103,163,0,21,360,217,0,21,69,92,508,264,243,219,265,180
"48453034000",6908,702,4388,570,203,179,4,7,1883,580,0,21,0,21,430,444,430,444,0,21
"48453034100",6570,783,2274,454,988,452,0,21,2309,711,0,21,481,313,518,243,297,183,221,151
"48453034200",6097,784,3376,749,231,203,26,40,2118,436,0,21,138,114,208,159,132,124,76,99
"48453034300",4205,529,2476,584,0,15,0,15,941,405,0,15,0,15,788,536,586,524,202,137
"48453034400",2370,507,1790,621,0,15,0,15,227,209,0,15,336,435,17,20,9,15,8,13
"48453034500",2430,919,1422,868,0,15,0,15,881,275,8,16,24,42,95,143,0,15,95,143
"48453034600",3905,850,3047,775,85,89,42,63,210,181,0,15,35,50,486,289,208,201,278,208
"48453034700",5191,715,4274,699,0,21,0,21,657,320,0,21,0,21,260,196,0,21,260,196
"48453034800",5020,868,3489,624,407,530,0,21,666,422,0,21,0,21,458,235,119,120,339,216
"48453034900",8788,1824,7402,1857,218,212,89,150,693,306,0,21,29,76,357,217,0,21,357,217
"48453035000",7225,1105,5135,837,558,463,0,21,932,220,0,21,0,21,600,542,529,563,71,90
"48453035100",3789,899,2485,949,193,255,0,15,760,369,0,15,3,13,348,239,159,178,189,125
"48453035200",3768,440,3138,411,68,73,0,15,192,268,0,15,114,114,256,151,252,151,4,7
"48453035300",1603,293,1417,271,0,15,5,8,42,60,0,15,71,85,68,68,37,58,31,35
"48453035400",5327,488,4510,488,0,21,9,15,375,209,0,21,51,68,382,219,85,63,297,209
"48453035500",4023,667,3519,676,0,15,0,15,418,273,0,15,0,15,86,85,18,31,68,77
"48453035600",2035,382,1541,269,24,35,6,9,240,175,0,15,10,12,214,138,44,31,170,131
"48453035700",4591,715,3801,696,0,15,0,15,340,236,0,15,77,130,373,219,255,185,118,134
"48453035800",3907,721,2880,558,153,214,0,15,246,253,0,15,188,263,440,368,146,132,294,342
"48453035900",2456,887,2198,837,32,45,0,15,79,112,0,15,0,15,147,145,36,44,111,135
"48453036000",2053,405,1408,483,0,15,0,15,234,124,0,15,148,131,263,159,11,21,252,163
"48453036100",5375,511,3321,700,409,196,0,21,563,178,0,21,141,139,941,323,128,118,813,373
"48453036200",2026,339,1142,310,67,99,93,140,704,284,0,15,14,24,6,11,6,11,0,15
"48453036300",1747,544,1136,552,0,15,46,67,0,15,0,15,85,142,480,534,433,549,47,45
"48453036400",2741,482,2229,489,88,98,0,15,0,15,21,33,113,122,290,129,233,177,57,74
"48453036500",6888,825,4434,592,571,522,0,21,1510,488,0,21,0,21,373,226,180,147,193,198
"48453036600",9152,1474,8033,1475,94,145,0,21,291,250,19,33,3,12,712,405,449,328,263,203
"48453036700",7370,756,5213,595,58,64,0,21,1251,594,0,21,276,347,572,294,360,250,212,145
"48453036800",4119,374,3260,507,221,294,11,19,287,169,0,15,192,38,148,106,83,105,65,54
"48453036900",4204,435,3580,349,54,43,0,15,95,51,0,15,129,163,346,270,253,261,93,66
"48453037000",5642,705,4077,695,73,121,22,36,793,379,0,21,146,158,531,281,132,142,399,232
"48453037100",2527,356,1780,424,182,146,9,15,104,110,0,15,39,63,413,205,311,102,102,147
